Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Link,Team,Name
TAI Taylor (WOR),2025-2025,14,26,2538,423.0,93,1327,58,22.87,3.13,43.75,5,2,https://www.espncricinfo.com/cricketers/tom-taylor-519544,WOR,TAI Taylor
KJ Abbott (HAM),2025-2025,14,24,2685,447.3,134,1159,56,20.69,2.58,47.94,1,4,https://www.espncricinfo.com/cricketers/kyle-abbott-297583,HAM,KJ Abbott
MJ Leach (SOM),2025-2025,14,21,2946,491.0,126,1185,52,22.78,2.41,56.65,3,3,https://www.espncricinfo.com/cricketers/jack-leach-455524,SOM,MJ Leach
GCH Hill (YOR),2025-2025,13,21,2047,341.1,100,853,51,16.72,2.5,40.13,3,3,https://www.espncricinfo.com/cricketers/george-hill-1114952,YOR,GCH Hill
JA Porter (ESS),2025-2025,12,21,2220,370.0,96,1008,49,20.57,2.72,45.3,3,2,https://www.espncricinfo.com/cricketers/jamie-porter-511252,ESS,JA Porter
BA Raine (DUR),2025-2025,13,21,2573,428.5,106,1230,44,27.95,2.86,58.47,3,2,https://www.espncricinfo.com/cricketers/ben-raine-459761,DUR,BA Raine
ER Bamber (WAR),2025-2025,14,24,2788,464.4,89,1423,43,33.09,3.06,64.83,3,1,https://www.espncricinfo.com/cricketers/ethan-bamber-888191,WAR,ER Bamber
CJ White (YOR),2025-2025,13,21,2197,366.1,99,972,42,23.14,2.65,52.3,2,1,https://www.espncricinfo.com/cricketers/jack-white-637969,YOR,CJ White
SR Harmer (ESS),2025-2025,13,22,2975,495.5,123,1149,40,28.72,2.31,74.37,4,-,https://www.espncricinfo.com/cricketers/simon-harmer-432960,ESS,SR Harmer
BMJ Allison (WOR),2025-2025,14,26,2231,371.5,99,1155,40,28.87,3.1,55.77,-,1,https://www.espncricinfo.com/cricketers/ben-allison-1098405,WOR,BMJ Allison
OE Robinson (SUS),2025-2025,10,18,1902,317.0,59,965,39,24.74,3.04,48.76,1,2,https://www.espncricinfo.com/cricketers/ollie-robinson-527776,SUS,OE Robinson
MJ Waite (WOR),2025-2025,13,24,1690,281.4,61,889,38,23.39,3.15,44.47,-,1,https://www.espncricinfo.com/cricketers/matthew-waite-765879,WOR,MJ Waite
BA Hutton (NOT),2025-2025,11,21,1956,326.0,61,1007,38,26.5,3.08,51.47,3,1,https://www.espncricinfo.com/cricketers/brett-hutton-469802,NOT,BA Hutton
JK Fuller (HAM),2025-2025,11,19,1461,243.3,24,991,35,28.31,4.06,41.74,1,1,https://www.espncricinfo.com/cricketers/james-fuller-451782,HAM,JK Fuller
C Overton (SOM),2025-2025,11,19,1766,294.2,64,838,33,25.39,2.84,53.51,1,2,https://www.espncricinfo.com/cricketers/craig-overton-464626,SOM,C Overton
Mohammad Abbas (NOT),2025-2025,9,16,1692,282.0,72,687,32,21.46,2.43,52.87,-,2,https://www.espncricinfo.com/cricketers/mohammad-abbas-389666,NOT,Mohammad Abbas
DJ Worrall (SUR),2025-2025,9,18,1832,305.2,61,853,32,26.65,2.79,57.25,3,-,https://www.espncricinfo.com/cricketers/daniel-worrall-557298,SUR,DJ Worrall
JC Tongue (NOT),2025-2025,6,11,1128,188.0,19,683,31,22.03,3.63,36.38,1,3,https://www.espncricinfo.com/cricketers/josh-tongue-857975,NOT,JC Tongue
MD Fisher (SUR),2025-2025,11,19,1834,305.4,69,996,31,32.12,3.25,59.16,1,2,https://www.espncricinfo.com/cricketers/matthew-fisher-639080,SUR,MD Fisher
J Clark (SUR),2025-2025,12,20,1916,319.2,68,1022,31,32.96,3.2,61.8,1,1,https://www.espncricinfo.com/cricketers/jordan-clark-301648,SUR,J Clark
M Pretorius (SOM),2025-2025,8,13,1268,211.2,34,702,29,24.2,3.32,43.72,-,1,https://www.espncricinfo.com/cricketers/migael-pretorius-605683,SOM,M Pretorius
EG Barnard (WAR),2025-2025,14,23,1854,309.0,52,1081,29,37.27,3.49,63.93,1,-,https://www.espncricinfo.com/cricketers/ed-barnard-578769,WAR,EG Barnard
MJ Potts (DUR),2025-2025,11,16,2222,370.2,64,1224,29,42.2,3.3,76.62,2,-,https://www.espncricinfo.com/cricketers/matthew-potts-1027781,DUR,MJ Potts
MJJ Critchley (ESS),2025-2025,14,17,1405,234.1,22,853,28,30.46,3.64,50.17,3,1,https://www.espncricinfo.com/cricketers/matt-critchley-776695,ESS,MJJ Critchley
DY Pennington (NOT),2025-2025,8,15,1532,255.2,48,865,28,30.89,3.38,54.71,1,1,https://www.espncricinfo.com/cricketers/dillon-pennington-1094569,NOT,DY Pennington
FJ Hudson-Prentice (SUS),2025-2025,13,20,1321,220.1,38,735,27,27.22,3.33,48.92,1,1,https://www.espncricinfo.com/cricketers/fynn-hudson-prentice-571102,SUS,FJ Hudson-Prentice
S Snater (ESS),2025-2025,10,17,1876,312.4,76,969,27,35.88,3.09,69.48,2,-,https://www.espncricinfo.com/cricketers/shane-snater-696143,ESS,S Snater
LW James (NOT),2025-2025,13,21,1565,260.5,36,926,26,35.61,3.55,60.19,-,2,https://www.espncricinfo.com/cricketers/lyndon-james-1046871,NOT,LW James
LA Patterson-White (NOT),2025-2025,11,17,2150,358.2,69,938,26,36.07,2.61,82.69,1,1,https://www.espncricinfo.com/cricketers/liam-patterson-white-1023361,NOT,LA Patterson-White
JJ Carson (SUS),2025-2025,14,23,1853,308.5,42,1038,26,39.92,3.36,71.26,1,1,https://www.espncricinfo.com/cricketers/jack-carson-1145101,SUS,JJ Carson
DM Bess (YOR),2025-2025,13,20,2085,347.3,70,1041,26,40.03,2.99,80.19,1,1,https://www.espncricinfo.com/cricketers/dom-bess-646847,YOR,DM Bess
MG Booth (WAR),2025-2025,7,12,1072,178.4,20,667,24,27.79,3.73,44.66,2,1,https://www.espncricinfo.com/cricketers/michael-booth-1071011,WAR,MG Booth
BTJ Wheal (HAM),2025-2025,8,14,1455,242.3,39,816,24,34.0,3.36,60.62,3,-,https://www.espncricinfo.com/cricketers/brad-wheal-807535,HAM,BTJ Wheal
LA Dawson (HAM),2025-2025,10,18,2144,357.2,66,902,22,41.0,2.52,97.45,1,1,https://www.espncricinfo.com/cricketers/liam-dawson-211855,HAM,LA Dawson
F O'Neill (NOT),2025-2025,4,8,842,140.2,30,376,21,17.9,2.67,40.09,-,2,https://www.espncricinfo.com/cricketers/fergus-o-neill-1304286,NOT,F O'Neill
BO Coad (YOR),2025-2025,8,14,1557,259.3,60,692,21,32.95,2.66,74.14,1,-,https://www.espncricinfo.com/cricketers/ben-coad-566685,YOR,BO Coad
JA Thompson (YOR),2025-2025,9,13,1165,194.1,36,660,20,33.0,3.39,58.25,-,-,https://www.espncricinfo.com/cricketers/jordan-thompson-766809,YOR,JA Thompson
JM Coles (SUS),2025-2025,14,20,1245,207.3,28,665,20,33.25,3.2,62.25,1,1,https://www.espncricinfo.com/cricketers/james-coles-1231590,SUS,JM Coles
DW Lawrence (SUR),2025-2025,13,16,1480,246.4,24,827,20,41.35,3.35,74.0,-,-,https://www.espncricinfo.com/cricketers/dan-lawrence-641423,SUR,DW Lawrence
AM Vaughan (SOM),2025-2025,14,14,1718,286.2,59,833,20,41.65,2.9,85.9,1,1,https://www.espncricinfo.com/cricketers/archie-vaughan-1319835,SOM,AM Vaughan
Codi Yusuf (DUR),2025-2025,5,8,628,104.4,9,440,19,23.15,4.2,33.05,2,-,https://www.espncricinfo.com/cricketers/codi-yusuf-949461,DUR,Codi Yusuf
JA Duffy (WOR),2025-2025,5,9,829,138.1,20,542,19,28.52,3.92,43.63,1,1,https://www.espncricinfo.com/cricketers/jacob-duffy-547766,WOR,JA Duffy
JH Davey (SOM),2025-2025,10,16,1064,177.2,26,630,19,33.15,3.55,56.0,-,-,https://www.espncricinfo.com/cricketers/josh-davey-407265,SOM,JH Davey
S Baker (HAM),2025-2025,6,12,941,156.5,11,686,19,36.1,4.37,49.52,-,2,https://www.espncricinfo.com/cricketers/sonny-baker-1191192,HAM,S Baker
L Gregory (SOM),2025-2025,11,14,1047,174.3,25,649,17,38.17,3.71,61.58,1,-,https://www.espncricinfo.com/cricketers/lewis-gregory-362201,SOM,L Gregory
GS Drissell (DUR),2025-2025,7,11,1414,235.4,34,884,17,52.0,3.75,83.17,-,1,https://www.espncricinfo.com/cricketers/george-drissell-1012835,DUR,GS Drissell
JD Unadkat (SUS),2025-2025,3,6,525,87.3,23,276,16,17.25,3.15,32.81,2,-,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484,SUS,JD Unadkat
BJ Webster (WAR),2025-2025,6,11,837,139.3,27,425,16,26.56,3.04,52.31,1,-,https://www.espncricinfo.com/cricketers/beau-webster-381329,WAR,BJ Webster
CAK Rajitha (ESS),2025-2025,5,10,852,142.0,26,556,16,34.75,3.91,53.25,1,1,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,ESS,CAK Rajitha
SJ Cook (ESS),2025-2025,6,10,1129,188.1,40,564,16,35.25,2.99,70.56,1,-,https://www.espncricinfo.com/cricketers/sam-cook-772061,ESS,SJ Cook
CF Parkinson (DUR/WOR),2025-2025,5,8,1185,197.3,31,596,16,37.25,3.01,74.06,1,-,https://www.espncricinfo.com/cricketers/callum-parkinson-789729,DUR/WOR,CF Parkinson
CJ Rocchiccioli (WAR),2025-2025,4,7,1013,168.5,16,597,16,37.31,3.53,63.31,-,2,https://www.espncricinfo.com/cricketers/corey-rocchiccioli-1205981,WAR,CJ Rocchiccioli
NRM Thain (ESS),2025-2025,13,19,1051,175.1,10,827,16,51.68,4.72,65.68,-,-,https://www.espncricinfo.com/cricketers/noah-thain-1318274,ESS,NRM Thain
JNT Seales (SUS),2025-2025,4,7,708,118.0,12,528,15,35.2,4.47,47.2,1,-,https://www.espncricinfo.com/cricketers/jayden-seales-1199304,SUS,JNT Seales
TE Lawes (SUR),2025-2025,9,16,1194,199.0,28,735,15,49.0,3.69,79.6,1,-,https://www.espncricinfo.com/cricketers/tom-lawes-1264775,SUR,TE Lawes
NG Smith (SUR),2025-2025,4,7,756,126.0,21,393,14,28.07,3.11,54.0,-,1,https://www.espncricinfo.com/cricketers/nathan-smith-959771,SUR,NG Smith
AAP Atkinson (SUR),2025-2025,4,8,816,136.0,23,430,14,30.71,3.16,58.28,2,-,https://www.espncricinfo.com/cricketers/gus-atkinson-1039481,SUR,AAP Atkinson
MJ Henry (SOM),2025-2025,4,7,738,123.0,21,439,14,31.35,3.56,52.71,1,-,https://www.espncricinfo.com/cricketers/matt-henry-506612,SOM,MJ Henry
AW Finch (WOR),2025-2025,5,9,719,119.5,16,465,13,35.76,3.88,55.3,-,-,https://www.espncricinfo.com/cricketers/adam-finch-1026317,WOR,AW Finch
KL Aldridge (SOM),2025-2025,8,11,793,132.1,20,528,13,40.61,3.99,61.0,-,1,https://www.espncricinfo.com/cricketers/kasey-aldridge-1173045,SOM,KL Aldridge
Farhan Ahmed (NOT),2025-2025,8,13,1306,217.4,37,600,13,46.15,2.75,100.46,1,-,https://www.espncricinfo.com/cricketers/farhan-ahmed-1318270,NOT,Farhan Ahmed
JT Ball (DUR/SOM),2025-2025,4,7,453,75.3,8,263,12,21.91,3.48,37.75,-,1,https://www.espncricinfo.com/cricketers/jake-ball-414990,DUR/SOM,JT Ball
HT Crocombe (SUS),2025-2025,4,6,510,85.0,16,375,12,31.25,4.41,42.5,1,-,https://www.espncricinfo.com/cricketers/henry-crocombe-1143809,SUS,HT Crocombe
GS Sandhu (SUS),2025-2025,4,5,657,109.3,19,401,12,33.41,3.66,54.75,-,1,https://www.espncricinfo.com/cricketers/gurinder-sandhu-499660,SUS,GS Sandhu
EA Brookes (WOR),2025-2025,14,22,894,149.0,15,493,12,41.08,3.3,74.5,-,-,https://www.espncricinfo.com/cricketers/ethan-brookes-1150964,WOR,EA Brookes
RM Yates (WAR),2025-2025,14,13,1035,172.3,20,573,12,47.75,3.32,86.25,-,-,https://www.espncricinfo.com/cricketers/rob-yates-1097408,WAR,RM Yates
SF Hunt (SUS),2025-2025,3,5,306,51.0,6,178,11,16.18,3.49,27.81,1,1,https://www.espncricinfo.com/cricketers/sean-hunt-1182418,SUS,SF Hunt
ME Milnes (YOR),2025-2025,3,5,465,77.3,18,260,11,23.63,3.35,42.27,-,1,https://www.espncricinfo.com/cricketers/matt-milnes-639140,YOR,ME Milnes
R Sai Kishore (SUR),2025-2025,2,4,679,113.1,27,270,11,24.54,2.38,61.72,-,1,https://www.espncricinfo.com/cricketers/sai-kishore-1048739,SUR,R Sai Kishore
TC Ali (WAR),2025-2025,5,9,672,112.0,8,458,11,41.63,4.08,61.09,1,-,https://www.espncricinfo.com/cricketers/tazeem-chaudry-ali-1261835,WAR,TC Ali
OJ Hannon-Dalby (WAR),2025-2025,10,17,1672,278.4,56,835,11,75.9,2.99,152.0,-,-,https://www.espncricinfo.com/cricketers/oliver-hannon-dalby-297483,WAR,OJ Hannon-Dalby
RD Chahar (SUR),2025-2025,1,2,268,44.4,8,118,10,11.8,2.64,26.8,-,1,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812,SUR,RD Chahar
NN Gilchrist (WAR),2025-2025,3,5,391,65.1,11,280,10,28.0,4.29,39.1,-,-,https://www.espncricinfo.com/cricketers/nathan-gilchrist-982597,WAR,NN Gilchrist
SM Curran (SUR),2025-2025,4,7,479,79.5,11,261,9,29.0,3.26,53.22,-,-,https://www.espncricinfo.com/cricketers/sam-curran-662973,SUR,SM Curran
B Doggett (DUR),2025-2025,3,5,535,89.1,17,301,9,33.44,3.37,59.44,1,-,https://www.espncricinfo.com/cricketers/brendan-doggett-931603,DUR,B Doggett
Khurram Shahzad (WOR),2025-2025,3,6,606,101.0,20,338,9,37.55,3.34,67.33,-,1,https://www.espncricinfo.com/cricketers/khurram-shahzad-1159495,WOR,Khurram Shahzad
N McAndrew (SUS),2025-2025,2,4,355,59.1,10,179,8,22.37,3.02,44.37,1,-,https://www.espncricinfo.com/cricketers/nathan-mcandrew-785323,SUS,N McAndrew
D Moriarty (YOR),2025-2025,3,5,664,110.4,20,288,8,36.0,2.6,83.0,1,-,https://www.espncricinfo.com/cricketers/dan-moriarty-949561,YOR,D Moriarty
EV Jack (HAM),2025-2025,5,7,588,98.0,5,470,8,58.75,4.79,73.5,-,-,https://www.espncricinfo.com/cricketers/eddie-jack-1268580,HAM,EV Jack
C Rushworth (WAR),2025-2025,2,3,216,36.0,7,77,7,11.0,2.13,30.85,1,-,https://www.espncricinfo.com/cricketers/chris-rushworth-20032,WAR,C Rushworth
JA Turner (HAM),2025-2025,2,3,244,40.4,5,139,7,19.85,3.41,34.85,-,-,https://www.espncricinfo.com/cricketers/john-turner-1261866,HAM,JA Turner
BV Sears (YOR),2025-2025,2,3,228,38.0,6,172,7,24.57,4.52,32.57,1,-,https://www.espncricinfo.com/cricketers/ben-sears-959769,YOR,BV Sears
S Conners (DUR),2025-2025,3,4,540,90.0,11,330,7,47.14,3.66,77.14,-,-,https://www.espncricinfo.com/cricketers/sam-conners-1041211,DUR,S Conners
CN Ackermann (DUR),2025-2025,12,10,569,94.5,14,335,7,47.85,3.53,81.28,-,-,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,DUR,CN Ackermann
WMH Rhodes (DUR),2025-2025,9,10,872,145.2,19,531,7,75.85,3.65,124.57,-,-,https://www.espncricinfo.com/cricketers/will-rhodes-570421,DUR,WMH Rhodes
CR Woakes (WAR),2025-2025,1,2,204,34.0,11,87,6,14.5,2.55,34.0,-,-,https://www.espncricinfo.com/cricketers/chris-woakes-247235,WAR,CR Woakes
MJ Killeen (DUR),2025-2025,1,2,181,30.1,4,103,6,17.16,3.41,30.16,-,1,https://www.espncricinfo.com/cricketers/mitchell-killeen-1265959,DUR,MJ Killeen
FW McCann (NOT),2025-2025,13,9,359,59.5,10,174,6,29.0,2.9,59.83,-,-,https://www.espncricinfo.com/cricketers/freddie-mccann-1318252,NOT,FW McCann
DAJ Bracewell (ESS),2025-2025,3,4,330,55.0,7,211,6,35.16,3.83,55.0,-,-,https://www.espncricinfo.com/cricketers/doug-bracewell-362541,ESS,DAJ Bracewell
BC Fortuin (HAM),2025-2025,1,2,118,19.4,6,39,5,7.8,1.98,23.6,1,-,https://www.espncricinfo.com/cricketers/bjorn-fortuin-553249,HAM,BC Fortuin
KHD Barker (HAM),2025-2025,2,3,246,41.0,9,91,5,18.2,2.21,49.2,-,-,https://www.espncricinfo.com/cricketers/keith-barker-354441,HAM,KHD Barker
CE Bennett (ESS),2025-2025,2,2,158,26.2,3,109,5,21.8,4.13,31.6,-,-,https://www.espncricinfo.com/cricketers/charlie-bennett-1441886,ESS,CE Bennett
BA Carse (DUR),2025-2025,1,2,195,32.3,3,152,5,30.4,4.67,39.0,-,-,https://www.espncricinfo.com/cricketers/brydon-carse-596417,DUR,BA Carse
WG Jacks (SUR),2025-2025,3,5,445,74.1,17,194,5,38.8,2.61,89.0,-,-,https://www.espncricinfo.com/cricketers/will-jacks-897549,SUR,WG Jacks
DJ Lamb (SUS),2025-2025,5,6,276,46.0,4,209,5,41.8,4.54,55.2,-,-,https://www.espncricinfo.com/cricketers/danny-lamb-637151,SUS,DJ Lamb
BR Hampton (HAM),2025-2025,3,6,329,54.5,9,232,5,46.4,4.23,65.8,-,-,https://www.espncricinfo.com/cricketers/brett-hampton-547756,HAM,BR Hampton
A Karvelas (SUS),2025-2025,4,7,408,68.0,10,239,5,47.8,3.51,81.6,-,-,https://www.espncricinfo.com/cricketers/aristides-karvelas-1115860,SUS,A Karvelas
CB Simmons (WAR),2025-2025,3,5,318,53.0,4,240,5,48.0,4.52,63.6,-,-,https://www.espncricinfo.com/cricketers/che-simmons-1263694,WAR,CB Simmons
Shafiqullah Ghafari (DUR),2025-2025,2,2,456,76.0,6,330,5,66.0,4.34,91.2,1,-,https://www.espncricinfo.com/cricketers/shafiqullah-ghafari-1176738,DUR,Shafiqullah Ghafari
DM Hogg (DUR),2025-2025,4,5,507,84.3,5,368,5,73.6,4.35,101.4,-,-,https://www.espncricinfo.com/cricketers/daniel-hogg-1378255,DUR,DM Hogg
