Bowler,External PitchX,External PitchY
DY Pennington,8.168788,-0.1713393
DY Pennington,7.82134,-0.1239217
DY Pennington,8.2920216,-0.3017263
FP O'Neill,8.258393,-0.026132
FP O'Neill,9.0077736,-0.2763068
FP O'Neill,6.8130208,0.0614385
FP O'Neill,5.8759278,-0.1867081
FP O'Neill,5.9762231,-0.2534983
FP O'Neill,7.9617345,-0.2867766
DY Pennington,6.3451143,-0.2013967
FP O'Neill,5.9908651,0.1488363
FP O'Neill,8.1343308,-0.0863847
FP O'Neill,5.9576082,0.29132
FP O'Neill,7.8415411,-0.0402875
FP O'Neill,7.7721121,0.1548291
DY Pennington,7.5175791,-0.0798565
DY Pennington,7.7344423,-0.1881267
FP O'Neill,5.9470729,0.0845867
FP O'Neill,8.3615579,-0.059908
FP O'Neill,8.1685525,-0.043061
FP O'Neill,6.5330198,0.2000754
FP O'Neill,7.0655313,-0.0661143
DY Pennington,7.0705292,-0.1243054
DY Pennington,7.7953314,-0.117601
DY Pennington,6.5831718,-0.1775359
DY Pennington,6.1861122,-0.0062624
DY Pennington,8.6194146,-0.2813263
FP O'Neill,6.4516008,0.0150239
FP O'Neill,7.4082351,-0.002188
FP O'Neill,7.0886567,0.1592159
FP O'Neill,5.8567045,0.102471
FP O'Neill,3.7652106,-0.2724506
FP O'Neill,6.9676001,-0.4036462
DY Pennington,7.5684788,-0.0754584
FP O'Neill,6.6870934,0.033992
FP O'Neill,6.4576289,-0.1251393
FP O'Neill,6.9901354,-0.3307669
FP O'Neill,6.6791814,-0.6426793
DY Pennington,8.1866658,-0.317626
DY Pennington,7.5548724,-0.2705514
DY Pennington,10.1654388,-0.3985197
DY Pennington,7.3286891,-0.4314386
DY Pennington,6.4451518,-0.2184571
FP O'Neill,7.7436338,-0.093189
FP O'Neill,7.4778326,-0.4126269
FP O'Neill,7.9672784,-0.0635633
FP O'Neill,8.3278356,-0.4706239
FP O'Neill,7.1262807,-0.2804498
FP O'Neill,6.0905414,-0.4102711
JC Tongue,9.9582005,-0.5053471
JC Tongue,8.8962523,-0.2227389
JC Tongue,6.5400885,-0.4995533
JC Tongue,5.5268264,-0.5167303
FP O'Neill,9.0074069,-0.1827576
FP O'Neill,8.7098318,0.6588212
FP O'Neill,8.4157739,0.3804481
FP O'Neill,6.8979615,0.4812828
FP O'Neill,7.8337604,0.4019112
JC Tongue,7.2399701,-0.375677
JC Tongue,7.7077883,-0.4862284
JC Tongue,7.4826351,-0.5778486
JC Tongue,5.0072316,-0.3460208
LW James,8.6274641,-0.3049666
LW James,8.1663489,-0.5657138
LW James,7.4131093,-0.3428887
LW James,7.4191032,-0.5996297
LW James,6.4662454,-0.1313569
LW James,7.616994,-0.3571129
JC Tongue,5.8240253,-0.4589029
JC Tongue,8.8174334,-0.237793
JC Tongue,8.8564507,-0.246278
JC Tongue,7.4929248,-0.1958088
LW James,7.9117395,-0.3316417
LW James,7.4603556,-0.6448581
LW James,7.752213,-0.2266283
LW James,8.6762266,-0.3781385
JC Tongue,8.2982015,-0.1839781
JC Tongue,6.8755738,-0.2536789
JC Tongue,8.6998188,-0.4952221
JC Tongue,8.7095524,-0.3482017
JC Tongue,7.8260514,-0.1259197
LW James,4.6676267,0.2389028
LW James,6.8178374,-0.2302995
LW James,7.4302724,-0.3283099
LW James,6.3345984,-0.06484
LW James,8.0898498,-0.0456191
JC Tongue,8.4770802,-0.1699863
JC Tongue,8.1572195,-0.1272916
JC Tongue,8.1007269,0.5143524
JC Tongue,8.903104,-0.4694456
JC Tongue,7.9851337,-0.3990033
LW James,6.2648486,1.0226979
LW James,7.7792449,0.7571193
LW James,8.0326332,0.6049705
LW James,7.0025478,-0.0114376
LW James,5.9287818,-0.0662107
LW James,7.2780231,-0.1251876
F Ahmed,5.1375239,0.5080525
F Ahmed,3.7866703,0.3353948
F Ahmed,5.6456571,0.3214458
F Ahmed,5.3628196,0.3272922
LW James,5.8196635,-0.0891974
LW James,6.1132813,0.1145973
LW James,7.328269,-0.0889484
LW James,7.7961823,0.1548136
LW James,5.361098,-0.3923579
LW James,7.219942,-0.2579486
F Ahmed,4.0934535,-0.29039
F Ahmed,6.013469,-0.2815051
F Ahmed,4.635034,-0.1802176
F Ahmed,3.9517922,-0.1844086
FP O'Neill,8.4193222,-0.4633304
FP O'Neill,6.8276379,-0.1773533
FP O'Neill,7.9792112,-0.3921147
FP O'Neill,8.3940943,-0.5230736
FP O'Neill,7.9820664,-0.2732453
F Ahmed,4.3232007,-0.3181977
F Ahmed,4.2817177,-0.4401444
F Ahmed,4.7816222,-0.2613945
F Ahmed,4.5944891,-0.537493
FP O'Neill,8.7320519,-0.4719276
FP O'Neill,7.2215158,-0.5780596
FP O'Neill,6.7966112,-0.4855077
FP O'Neill,7.6279387,-0.4344177
FP O'Neill,8.8283413,-0.5196504
FP O'Neill,7.7819459,-0.3857133
F Ahmed,4.1454218,-0.1829862
F Ahmed,3.9580551,-0.2754975
F Ahmed,4.950894,-0.4338447
F Ahmed,5.0747466,-0.4046453
F Ahmed,6.4723696,-0.4642213
FP O'Neill,7.7377937,-0.5154021
FP O'Neill,5.8817295,-0.3822544
FP O'Neill,6.7579581,-0.5412185
FP O'Neill,5.0640468,-0.4172201
FP O'Neill,6.2322221,-0.2720476
JC Tongue,5.4963696,-0.4259453
JC Tongue,3.9851069,-0.3654534
JC Tongue,8.6664926,-0.4184974
JC Tongue,8.2519114,-0.4321066
JC Tongue,7.0602349,-0.1416183
DY Pennington,7.4227095,-0.286315
DY Pennington,7.2364715,-0.471935
JC Tongue,8.7090095,-0.3944785
JC Tongue,7.6142367,-0.3324583
JC Tongue,8.0178357,-0.3674884
JC Tongue,5.270512,-0.3483497
JC Tongue,8.2231053,-0.3959698
JC Tongue,4.3144739,-0.0587135
DY Pennington,7.9351135,-0.5722746
DY Pennington,7.7968887,-0.3248656
DY Pennington,5.8153248,-0.6182431
DY Pennington,7.4681103,-0.4589857
DY Pennington,8.9131485,-0.5774263
DY Pennington,5.3143039,-0.68572
JC Tongue,8.7076113,-0.4717128
JC Tongue,6.8997095,-0.3331414
JC Tongue,5.8469859,-0.2545685
JC Tongue,7.2797746,-0.7390999
JC Tongue,5.6785821,-0.5609645
DY Pennington,7.9432799,-0.5117344
DY Pennington,7.7937162,-0.3894836
DY Pennington,7.2002582,-0.3699994
DY Pennington,7.4774625,0.6864499
DY Pennington,7.8474656,0.6311639
DY Pennington,5.9701903,0.5654234
JC Tongue,8.3403101,-0.2263186
JC Tongue,11.7481038,0.4080001
JC Tongue,8.613496,0.511956
JC Tongue,8.8315046,0.7239844
DY Pennington,5.5940943,-0.1862288
DY Pennington,5.1881805,-0.2989204
DY Pennington,8.7549263,-0.4850185
DY Pennington,7.2600241,-0.4708718
DY Pennington,7.0338038,-0.4728333
DY Pennington,8.0988029,-0.3372246
JC Tongue,6.8312132,0.3494664
JC Tongue,6.9681765,0.5777186
JC Tongue,8.0579737,0.708607
JC Tongue,7.2156975,-0.2369369
JC Tongue,8.2315222,0.5071804
DY Pennington,7.5206111,-0.1605861
DY Pennington,7.4542494,-0.3682455
DY Pennington,7.0847819,-0.3905276
DY Pennington,5.7355206,0.2311506
DY Pennington,8.0232657,0.4534393
JC Tongue,6.5020917,-0.5856564
JC Tongue,6.8437974,-0.2277847
JC Tongue,5.4768397,-0.1054316
JC Tongue,4.6600392,-0.2523188
JC Tongue,6.4252092,-0.1722859
JC Tongue,5.7222037,-0.0819676
DY Pennington,6.0905361,-0.0828744
DY Pennington,7.9589339,0.6395788
DY Pennington,8.0042686,0.6045594
DY Pennington,7.5493408,0.355676
DY Pennington,6.5065101,0.2560643
DY Pennington,7.7582629,0.5558463
FP O'Neill,8.6549255,0.3616424
FP O'Neill,4.9863297,0.4407807
FP O'Neill,9.410434,0.5196825
FP O'Neill,6.2052283,0.431829
FP O'Neill,6.8290872,-0.6451793
FP O'Neill,9.7799017,-0.493802
LW James,7.6974794,-0.4053664
LW James,7.669851,0.154357
LW James,6.5306195,-0.1801396
LW James,7.0098014,-0.3632675
LW James,5.4414729,0.2018082
FP O'Neill,7.7517397,-0.5685973
FP O'Neill,8.7968635,-0.3970108
FP O'Neill,5.825368,-0.4693524
FP O'Neill,8.3409197,-0.5747271
FP O'Neill,6.5179737,-0.4502158
FP O'Neill,6.9456211,-0.6220892
LW James,7.0893175,-0.2958434
LW James,7.8162085,-0.4095385
LW James,7.2985407,0.0466891
LW James,6.7856809,0.1635178
LW James,12.5911539,-0.3105927
LW James,8.6049373,-0.0643054
LW James,6.3335203,-0.5379294
FP O'Neill,7.6511438,-0.4205808
FP O'Neill,7.7735571,-0.383968
FP O'Neill,8.0284605,-0.4835122
FP O'Neill,5.6262515,-0.432813
FP O'Neill,4.6161772,-0.1370987
LW James,7.6398701,-0.4790477
LW James,8.8251221,-0.3049972
LW James,6.4583284,-0.3763513
LW James,6.6243594,-0.2881084
LW James,5.9788797,-0.1049697
LW James,7.1163681,-0.2981451
FP O'Neill,5.6031733,-0.4323767
FP O'Neill,7.0622623,-0.4134393
FP O'Neill,8.0543591,-0.3889522
FP O'Neill,6.3903579,-0.3252641
FP O'Neill,6.8639268,-0.244462
FP O'Neill,7.6141229,-0.4314717
LW James,6.2723211,0.0889154
LW James,6.3222602,-0.1990913
LW James,7.2116036,-0.1742031
LW James,7.3564476,-0.185235
F Ahmed,3.778339,-0.5274854
F Ahmed,4.8851492,-0.3351311
F Ahmed,4.3917225,-0.3635735
F Ahmed,4.9320315,-0.5068792
F Ahmed,6.0338406,-0.2254961
F Ahmed,6.1380824,-0.3266825
F Ahmed,3.4350796,-0.4962354
F Ahmed,4.7564636,-0.317886
F Ahmed,4.0687464,-0.2733433
F Ahmed,3.9582483,-0.2385363
F Ahmed,4.5787341,-0.2584244
F Ahmed,5.7943651,0.0866489
F Ahmed,4.3670967,0.2409216
F Ahmed,4.3684803,-0.0116503
F Ahmed,4.1259151,-0.0236995
F Ahmed,4.3202151,-0.0079799
F Ahmed,5.8842451,-0.0044836
F Ahmed,4.7445351,0.0252509
F Ahmed,4.975675,-0.0096265
F Ahmed,3.8229737,0.2294437
F Ahmed,4.5770784,0.1674616
F Ahmed,4.5628478,-0.0814311
F Ahmed,4.2963876,0.2179347
F Ahmed,4.6601648,-0.0165358
F Ahmed,4.9158488,0.1835514
F Ahmed,4.1935876,-0.0241132
F Ahmed,3.8672326,0.2022098
F Ahmed,5.4080055,0.3951364
F Ahmed,5.2365041,0.3343196
F Ahmed,4.2497211,0.2395326
F Ahmed,5.2518516,0.0038233
JC Tongue,6.7858026,-0.5047169
JC Tongue,8.3052041,-0.6115498
JC Tongue,9.5761284,-0.575995
JC Tongue,8.3646087,-0.5404066
JC Tongue,6.9998588,-0.6783929
JC Tongue,8.6558766,-0.520274
JC Tongue,4.4884346,-0.5276507
F Ahmed,5.2896681,0.1412878
F Ahmed,5.182633,-0.0093301
F Ahmed,4.3694312,0.1667655
F Ahmed,4.2451607,0.040393
F Ahmed,5.0670026,0.0822538
JC Tongue,4.6399109,-0.521964
JC Tongue,7.7223186,-0.490786
JC Tongue,7.9055208,-0.5157221
JC Tongue,9.6383686,-0.3753232
