Bowler,Bowler Type,Short Type,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Middle Percentage,Edge Percentage,Whiff Percentage,Runs per Edge
DY Pennington,RFM,Seam,78.87411085741087,84.53422208834701,11.003566010509886,2.222565410196079,0.5790697674418605,0.07596899224806201,0.11395348837209303,1.5612244897959184
FP O'Neill,RFM,Seam,76.33618196996838,81.09148239243132,9.20051349607786,2.012014499392097,0.654421768707483,0.08163265306122448,0.10476190476190476,1.5166666666666666
JC Tongue,RF,Seam,84.20588400924807,89.97182880886476,11.749541864694876,2.1303629440725245,0.6086956521739131,0.07556935817805382,0.11801242236024845,1.3835616438356164
LW James,RM,Seam,75.80443738232684,81.1570685781231,10.253802492543073,2.1403897951505018,0.6635311143270622,0.07742402315484805,0.1020260492040521,1.1869158878504673
F Ahmed,ROB,Spin,51.4306553931818,56.03556424033104,7.708885562878059,2.0699193566945606,0.8217898832684825,0.031906614785992216,0.017120622568093387,1.024390243902439
BA Raine,RM,Seam,72.9468233142101,78.36583978800925,10.472972803455576,2.0833646549065423,0.6941813261163735,0.06811005863779883,0.07803337843933243,1.1390728476821192
MJ Potts,RFM,Seam,80.14637851771242,85.27373539246705,10.379616096369332,2.0905305087286528,0.7061611374407583,0.08267509215376515,0.07740916271721959,1.356687898089172
P Coughlin,RFM,Seam,78.26350974936885,85.26127941276398,14.065942420735581,2.1939944965714284,0.6816143497757847,0.07174887892376682,0.09417040358744394,1.6875
GS Drissell,ROB,Spin,50.15080319170318,53.60586574814234,6.474923354629119,2.2796009832857145,0.7740029542097489,0.0413589364844904,0.03840472673559823,0.7321428571428571
WMH Rhodes,RM,Seam,70.2371701199844,74.68837686076216,9.458811357545954,2.1732829620869567,0.7445161290322581,0.04387096774193548,0.04516129032258064,1.5
CN Ackermann,ROB,Spin,52.228162192545945,55.998561059374516,6.847966654032767,2.1943617445070425,0.8096947935368043,0.04308797127468582,0.02154398563734291,0.9583333333333334
C Overton,RFM,Seam,76.63494652501531,82.78503233479475,11.963503137787526,2.307918176249039,0.649025069637883,0.07381615598885793,0.0947075208913649,1.009433962264151
JH Davey,RFM,Seam,75.59303462418505,81.73112375212722,12.15447748217349,2.067540155209581,0.6343519494204426,0.08008429926238145,0.10642781875658588,1.2894736842105263
L Gregory,RFM,Seam,77.5495246924138,83.10358659665403,10.996201175674926,2.0433433062426385,0.5732484076433121,0.10615711252653928,0.1178343949044586,0.97
MJ Leach,LOB,Spin,50.40074658097788,54.77169563270093,8.57436323736696,2.103382938781038,0.679646017699115,0.07292035398230089,0.04991150442477876,0.3592233009708738
KL Aldridge,RFM,Seam,80.29846870185189,85.92170818389397,13.366064795886231,2.147727329111531,0.5553977272727273,0.05539772727272727,0.10227272727272728,1.358974358974359
TAI Taylor,RFM,Seam,77.94260851690316,83.1549996746248,9.895331101607567,2.1352895390605684,0.5333956095282578,0.08640822045773003,0.11303129378794956,1.2216216216216216
BMJ Allison,RFM,Seam,75.47689343453592,81.43571594061184,11.633718618341987,2.2188269365423725,0.5226925038245793,0.07853136155022948,0.09892911779704233,1.4090909090909092
AW Finch,RFM,Seam,81.0043656299514,86.22329603577262,12.205705620812907,2.166979380597015,0.6428571428571429,0.059800664451827246,0.07142857142857142,1.6111111111111112
TI Hinley,LLB,Spin,48.301523465090455,50.47640629565804,5.100108907757985,2.1604072838709674,0.7123287671232876,0.08904109589041095,0.10273972602739725,0.9230769230769231
MJ Waite,RM,Seam,72.35530353907511,78.36848076528018,11.203413540670141,2.091926799551167,0.5326732673267327,0.07920792079207921,0.066006600660066,1.225
EA Brookes,RM,Seam,68.93898246383625,73.81812596826155,9.984463719276427,2.2636262621311474,0.6223277909738717,0.05463182897862233,0.055819477434679333,0.8478260869565217
