Bowler,Bowler Type,Short Type,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Middle Percentage,Edge Percentage,Whiff Percentage,Runs per Edge
DY Pennington,RFM,Seam,0.6126126126126126,0.6666666666666666,0.5675675675675675,0.9009009009009009,0.38596491228070173,0.5,0.8333333333333334,0.8796296296296297
FP O'Neill,RFM,Seam,0.36936936936936937,0.34234234234234234,0.21621621621621623,0.0990990990990991,0.7017543859649122,0.6052631578947368,0.7456140350877193,0.8611111111111112
JC Tongue,RF,Seam,0.990990990990991,0.990990990990991,0.7117117117117117,0.5585585585585585,0.47368421052631576,0.47368421052631576,0.8947368421052632,0.7592592592592593
LW James,RM,Seam,0.3153153153153153,0.35135135135135137,0.43243243243243246,0.6216216216216216,0.7192982456140351,0.5175438596491229,0.7105263157894737,0.49074074074074076
F Ahmed,ROB,Spin,0.6909090909090909,0.6727272727272727,0.5636363636363636,0.2,0.8571428571428571,0.2857142857142857,0.19642857142857142,0.74
BA Raine,RM,Seam,0.13513513513513514,0.14414414414414414,0.46846846846846846,0.3963963963963964,0.7894736842105263,0.34210526315789475,0.4473684210526316,0.4351851851851852
MJ Potts,RFM,Seam,0.7927927927927928,0.7747747747747747,0.45045045045045046,0.44144144144144143,0.8157894736842105,0.6228070175438597,0.4298245614035088,0.7129629629629629
P Coughlin,RFM,Seam,0.5585585585585585,0.7657657657657657,0.954954954954955,0.8108108108108109,0.7543859649122807,0.4298245614035088,0.6140350877192983,0.9351851851851852
GS Drissell,ROB,Spin,0.5272727272727272,0.43636363636363634,0.2909090909090909,0.7454545454545455,0.6607142857142857,0.48214285714285715,0.5892857142857143,0.44
WMH Rhodes,RM,Seam,0.06306306306306306,0.06306306306306306,0.27927927927927926,0.7657657657657657,0.8859649122807017,0.17543859649122806,0.11403508771929824,0.8379629629629629
CN Ackermann,ROB,Spin,0.8,0.6545454545454545,0.43636363636363634,0.4727272727272727,0.8214285714285714,0.5178571428571429,0.23214285714285715,0.62
C Overton,RFM,Seam,0.40540540540540543,0.45045045045045046,0.7657657657657657,0.9819819819819819,0.6842105263157895,0.43859649122807015,0.631578947368421,0.24074074074074073
JH Davey,RFM,Seam,0.3063063063063063,0.3783783783783784,0.8018018018018018,0.2972972972972973,0.6140350877192983,0.5701754385964912,0.7631578947368421,0.6203703703703703
L Gregory,RFM,Seam,0.46846846846846846,0.5225225225225225,0.5585585585585585,0.21621621621621623,0.35964912280701755,0.8859649122807017,0.8859649122807017,0.14814814814814814
MJ Leach,LOB,Spin,0.5454545454545454,0.5454545454545454,0.7090909090909091,0.2545454545454545,0.3392857142857143,0.875,0.7678571428571429,0.1
KL Aldridge,RFM,Seam,0.8018018018018018,0.8648648648648649,0.918918918918919,0.6576576576576577,0.30701754385964913,0.23684210526315788,0.7192982456140351,0.7222222222222222
TAI Taylor,RFM,Seam,0.5315315315315315,0.5315315315315315,0.35135135135135137,0.5855855855855856,0.22807017543859648,0.6666666666666666,0.8157894736842105,0.5277777777777778
BMJ Allison,RFM,Seam,0.2972972972972973,0.36036036036036034,0.6936936936936937,0.8828828828828829,0.18421052631578946,0.5350877192982456,0.6666666666666666,0.7916666666666666
AW Finch,RFM,Seam,0.8738738738738738,0.8918918918918919,0.8108108108108109,0.7567567567567568,0.6578947368421053,0.2631578947368421,0.3508771929824561,0.9074074074074074
TI Hinley,LLB,Spin,0.2,0.09090909090909091,0.18181818181818182,0.38181818181818183,0.44642857142857145,0.9285714285714286,0.9821428571428571,0.6
MJ Waite,RM,Seam,0.10810810810810811,0.15315315315315314,0.6126126126126126,0.45045045045045046,0.21929824561403508,0.5526315789473685,0.30701754385964913,0.5370370370370371
EA Brookes,RM,Seam,0.036036036036036036,0.04504504504504504,0.3783783783783784,0.9459459459459459,0.5350877192982456,0.21929824561403508,0.22807017543859648,0.08333333333333333
BL D'Oliveira,RLB,Spin,0.07272727272727272,0.07272727272727272,0.21818181818181817,0.01818181818181818,0.625,0.14285714285714285,0.42857142857142855,0.17
