Bowler,ReleaseY External,ReleaseZ External
DY Pennington,-0.6446142,2.1456663
DY Pennington,-0.6608671,2.2067358
DY Pennington,-0.7101765,2.2803932
FP O'Neill,-0.4667924,1.9680897
FP O'Neill,-0.4887242,1.9610445
FP O'Neill,-0.4401545,2.0293149
FP O'Neill,-0.5206505,1.9727082
FP O'Neill,-0.5381768,1.9955119
FP O'Neill,-0.5054318,1.9778515
DY Pennington,-0.7127301,2.2147205
FP O'Neill,-0.5297306,2.0749513
FP O'Neill,-0.5375389,1.9861876
FP O'Neill,-0.5692252,2.1061083
FP O'Neill,-0.5527686,2.0030049
FP O'Neill,-0.4726838,1.9876921
DY Pennington,-0.7479431,2.2425251
DY Pennington,-0.7311893,2.2727512
FP O'Neill,-0.5597491,2.0635565
FP O'Neill,-0.4664464,1.9903502
FP O'Neill,-0.476814,1.9874403
FP O'Neill,-0.5157316,2.0172537
FP O'Neill,-0.4524422,1.9835035
DY Pennington,-0.6285218,2.2225512
DY Pennington,-0.5868389,2.1502892
DY Pennington,-0.7233327,2.3001121
DY Pennington,-0.5985035,2.1437739
DY Pennington,-0.8607626,2.2702252
FP O'Neill,-0.5115683,2.0643573
FP O'Neill,-0.5002792,1.9934965
FP O'Neill,-0.5401979,2.0453545
FP O'Neill,-0.4507395,2.011316
FP O'Neill,-0.5948537,2.0231872
FP O'Neill,-0.6205183,1.9973517
DY Pennington,-0.7121257,2.2303358
FP O'Neill,-0.5176928,2.0230722
FP O'Neill,-0.5100761,1.9719766
FP O'Neill,-0.7252383,1.9698578
FP O'Neill,-0.7933946,1.9925901
DY Pennington,-0.7028071,2.1773743
DY Pennington,-0.7493159,2.3613383
DY Pennington,-0.7138749,2.1620976
DY Pennington,-0.7497983,2.2635608
DY Pennington,-0.727137,2.2697174
FP O'Neill,-0.6191866,1.9921053
FP O'Neill,-0.5094057,2.0094036
FP O'Neill,-0.4900265,1.9667183
FP O'Neill,-0.566658,1.9927412
FP O'Neill,-0.5238127,2.0210715
FP O'Neill,-0.6612061,2.0210732
JC Tongue,-1.02239,2.101781
JC Tongue,-1.0287692,2.1196401
JC Tongue,-0.9360877,2.0879114
JC Tongue,-0.9204829,2.1109895
FP O'Neill,-0.5048774,1.9376957
FP O'Neill,1.1007309,2.002885
FP O'Neill,1.0660673,1.9932283
FP O'Neill,1.0903237,2.0128694
FP O'Neill,1.0777406,2.0291487
JC Tongue,-0.9653239,2.0947847
JC Tongue,-0.9598558,2.0770104
JC Tongue,-0.9817236,2.077613
JC Tongue,-0.8977647,2.0999953
LW James,-0.4331253,2.0633471
LW James,-0.5292846,2.1004335
LW James,-0.5028962,2.1387873
LW James,-0.4745659,2.1068668
LW James,-0.5424625,2.171096
LW James,-0.4457929,2.1272844
JC Tongue,-0.8996861,2.1419158
JC Tongue,-0.9335822,2.0835664
JC Tongue,-0.961199,2.0699159
JC Tongue,-0.8950514,2.0845716
LW James,-0.4716102,2.0763431
LW James,-0.5277258,2.0934657
LW James,-0.5298904,2.1291577
LW James,-0.4785022,2.0922744
JC Tongue,-0.8936277,2.0755976
JC Tongue,-0.906852,2.1017427
JC Tongue,-1.0972204,2.095537
